date,symbol,file,status,bytes
2026-07-24,BNSOLUSDT,BNSOLUSDT-aggTrades-2026-07-24.zip,ok,77872
2026-07-24,BNTUSDT,BNTUSDT-1m-2026-07-24.zip,ok,13948
2026-07-24,BNTUSDT,BNTUSDT-aggTrades-2026-07-24.zip,ok,19193
2026-07-24,BOMEUSDT,BOMEUSDT-1m-2026-07-24.zip,ok,29295
2026-07-24,BOMEUSDT,BOMEUSDT-aggTrades-2026-07-24.zip,ok,77813
2026-07-24,BONKUSDT,BONKUSDT-1m-2026-07-24.zip,ok,36282
2026-07-24,BONKUSDT,BONKUSDT-aggTrades-2026-07-24.zip,ok,91629
2026-07-24,BREVUSDT,BREVUSDT-1m-2026-07-24.zip,ok,23666
2026-07-24,BREVUSDT,BREVUSDT-aggTrades-2026-07-24.zip,ok,33158
2026-07-24,BROCCOLI714USDT,BROCCOLI714USDT-1m-2026-07-24.zip,ok,23016
2026-07-24,BROCCOLI714USDT,BROCCOLI714USDT-aggTrades-2026-07-24.zip,ok,38363
2026-07-24,BTTCUSDT,BTTCUSDT-1m-2026-07-24.zip,ok,30643
2026-07-24,BTTCUSDT,BTTCUSDT-aggTrades-2026-07-24.zip,ok,94125
2026-07-24,C98USDT,C98USDT-1m-2026-07-24.zip,ok,19456
2026-07-24,C98USDT,C98USDT-aggTrades-2026-07-24.zip,ok,22263
2026-07-24,CAKEUSDT,CAKEUSDT-1m-2026-07-24.zip,ok,37412
2026-07-24,CAKEUSDT,CAKEUSDT-aggTrades-2026-07-24.zip,ok,129835
2026-07-24,CATIUSDT,CATIUSDT-1m-2026-07-24.zip,ok,27523
2026-07-24,CATIUSDT,CATIUSDT-aggTrades-2026-07-24.zip,ok,71205
2026-07-24,CBRSBUSDT,CBRSBUSDT-1m-2026-07-24.zip,ok,21348
2026-07-24,CBRSBUSDT,CBRSBUSDT-aggTrades-2026-07-24.zip,ok,50484
2026-07-24,CELRUSDT,CELRUSDT-1m-2026-07-24.zip,ok,42727
2026-07-24,CELRUSDT,CELRUSDT-aggTrades-2026-07-24.zip,ok,237165
2026-07-24,CETUSUSDT,CETUSUSDT-1m-2026-07-24.zip,ok,21607
2026-07-24,CETUSUSDT,CETUSUSDT-aggTrades-2026-07-24.zip,ok,26256
2026-07-24,CFGUSDT,CFGUSDT-1m-2026-07-24.zip,ok,33262
2026-07-24,CFGUSDT,CFGUSDT-aggTrades-2026-07-24.zip,ok,118884
2026-07-24,CFXUSDT,CFXUSDT-1m-2026-07-24.zip,ok,31532
2026-07-24,CFXUSDT,CFXUSDT-aggTrades-2026-07-24.zip,ok,97801
2026-07-24,CGPTUSDT,CGPTUSDT-1m-2026-07-24.zip,ok,26236
2026-07-24,CGPTUSDT,CGPTUSDT-aggTrades-2026-07-24.zip,ok,43121
2026-07-24,CHIPUSDT,CHIPUSDT-1m-2026-07-24.zip,ok,35356
2026-07-24,CHIPUSDT,CHIPUSDT-aggTrades-2026-07-24.zip,ok,130833
